Player,Nation,Pos,Squad,passing_Age,passing_Born,passing_90s,passing_Total_Cmp,passing_Total_Att,passing_Total_Cmp%,passing_Total_TotDist,passing_Total_PrgDist,passing_Short_Cmp,passing_Short_Att,passing_Short_Cmp%,passing_Medium_Cmp,passing_Medium_Att,passing_Medium_Cmp%,passing_Long_Cmp,passing_Long_Att,passing_Long_Cmp%,passing_Ast,passing_xAG,passing_Expected_xA,passing_Expected_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Matches
Max Aarons,eng ENG,DF,Bournemouth,25-097,2000,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,Matches
Joshua Acheampong,eng ENG,DF,Chelsea,18-341,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,Matches
Tyler Adams,us USA,MF,Bournemouth,26-056,1999,15.3,607,728,83.4,9588,2285,297,334,88.9,266,303,87.8,25,45,55.6,3,0.8,0.4,+2.2,13,48,2,1,54,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-199,1997,13.1,931,1020,91.3,16998,6165,359,375,95.7,514,542,94.8,56,92,60.9,1,0.2,0.2,+0.8,1,49,1,0,34,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,23-100,2002,8.3,193,259,74.5,2731,580,120,140,85.7,56,76,73.7,11,21,52.4,1,1.4,1.9,-0.4,10,4,9,3,12,Matches
Emmanuel Agbadou,ci CIV,DF,Wolves,27-298,1997,8.7,423,510,82.9,8523,3013,141,154,91.6,221,245,90.2,57,96,59.4,0,0.1,0.1,-0.1,2,17,1,0,19,Matches
Asher Agbinone,eng ENG,MF,Crystal Palace,19-195,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,28-185,1996,28.5,839,1145,73.3,12948,5391,446,506,88.1,308,423,72.8,52,144,36.1,1,0.7,1.5,+0.3,11,78,15,7,91,Matches
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-309,2001,28.3,1170,1387,84.4,16246,4872,715,765,93.5,362,416,87.0,39,94,41.5,5,3.5,2.6,+1.5,32,64,23,5,95,Matches
Kristoffer Ajer,no NOR,DF,Brentford,26-359,1998,14.4,453,581,78.0,7119,2551,233,269,86.6,180,227,79.3,25,50,50.0,0,1.2,0.5,-1.2,7,39,6,4,49,Matches
Manuel Akanji,ch SUI,DF,Manchester City,29-266,1995,19.0,1389,1479,93.9,22799,6245,666,694,96.0,641,671,95.5,68,92,73.9,0,0.4,1.1,-0.4,9,149,11,2,135,Matches
Nathan Aké,nl NED,DF,Manchester City,30-052,1995,7.5,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0,0.0,0.2,0.0,1,42,1,0,50,Matches
Carlos Alcaraz,ar ARG,MF,Southampton,22-132,2002,0.1,13,13,100.0,221,66,7,7,100.0,4,4,100.0,2,2,100.0,0,0.1,0.0,-0.1,1,4,1,1,6,Matches
Carlos Alcaraz,ar ARG,"MF,FW",Everton,22-132,2002,4.6,122,159,76.7,2124,583,53,62,85.5,54,62,87.1,11,20,55.0,1,1.1,0.3,-0.1,9,9,12,1,20,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-186,1998,23.8,1321,1787,73.9,25377,10446,578,642,90.0,535,704,76.0,185,367,50.4,6,6.7,6.7,-0.7,50,187,62,20,204,Matches
Alisson,br BRA,GK,Liverpool,32-191,1992,20.9,538,645,83.4,11965,7825,163,165,98.8,281,285,98.6,93,191,48.7,0,0.6,0.2,-0.6,1,10,0,0,0,Matches
Miguel Almirón,py PAR,FW,Newcastle Utd,31-060,1994,1.7,54,66,81.8,707,219,39,42,92.9,13,16,81.3,1,3,33.3,0,0.3,0.2,-0.3,3,3,1,0,6,Matches
Edson Álvarez,mx MEX,MF,West Ham,27-169,1997,18.1,763,890,85.7,12894,3657,372,419,88.8,322,359,89.7,61,83,73.5,1,0.8,0.8,+0.2,11,80,11,3,75,Matches
Will Alves,eng ENG,FW,Leicester City,20-067,2005,0.0,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Harry Amass,eng ENG,DF,Manchester Utd,18-026,2007,0.2,14,20,70.0,158,47,8,9,88.9,4,9,44.4,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-267,2006,0.3,8,9,88.9,107,13,6,6,100.0,2,3,66.7,0,0,,0,0.1,0.1,-0.1,1,0,1,1,0,Matches
Mathis Amougou,fr FRA,MF,Chelsea,19-083,2006,0.1,7,7,100.0,69,30,6,6,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,1,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,28-315,1996,1.0,61,83,73.5,1227,526,19,21,90.5,31,37,83.8,9,21,42.9,0,0.0,0.0,0.0,0,9,1,0,4,Matches
Joachim Andersen,dk DEN,DF,Fulham,28-315,1996,21.7,1291,1553,83.1,28499,11522,352,383,91.9,715,763,93.7,215,382,56.3,0,0.3,0.4,-0.3,3,151,4,1,95,Matches
Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-156,2002,23.7,812,1036,78.4,12860,4401,428,482,88.8,298,369,80.8,55,119,46.2,6,3.0,3.2,+3.0,32,81,15,2,108,Matches
André,br BRA,MF,Wolves,23-269,2001,21.2,927,1000,92.7,14806,4152,468,492,95.1,369,386,95.6,58,73,79.5,0,0.6,0.5,-0.6,12,88,4,0,83,Matches
Michail Antonio,jm JAM,FW,West Ham,35-014,1990,9.3,114,188,60.6,2183,424,52,72,72.2,37,62,59.7,22,31,71.0,1,1.6,0.9,-0.6,9,11,6,2,18,Matches
Antony,br BRA,"DF,MF",Manchester Utd,25-046,2000,1.6,56,69,81.2,688,111,45,51,88.2,9,14,64.3,1,1,100.0,0,0.1,0.2,-0.1,3,1,5,2,6,Matches
Julian Araujo,mx MEX,DF,Bournemouth,23-241,2001,3.9,131,166,78.9,2297,759,60,67,89.6,61,71,85.9,9,22,40.9,0,0.0,0.0,0.0,0,15,1,0,14,Matches
Cameron Archer,eng ENG,FW,Southampton,23-264,2001,13.9,170,210,81.0,2235,321,110,127,86.6,46,51,90.2,5,9,55.6,0,0.3,0.6,-0.3,2,5,7,0,13,Matches
Alphonse Areola,fr FRA,GK,West Ham,32-043,1993,19.1,539,769,70.1,14590,9983,108,109,99.1,264,277,95.3,165,374,44.1,0,0.0,0.0,0.0,0,7,0,0,0,Matches
Joe Aribo,ng NGA,"MF,DF",Southampton,28-264,1996,21.2,878,992,88.5,13041,2506,480,526,91.3,341,375,90.9,31,45,68.9,0,1.6,1.2,-1.6,16,50,4,1,71,Matches
Adam Armstrong,eng ENG,"FW,MF",Southampton,28-060,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,Matches
Harrison Armstrong,eng ENG,MF,Everton,18-082,2007,0.5,7,15,46.7,149,15,3,4,75.0,2,5,40.0,2,4,50.0,0,0.1,0.0,-0.1,1,1,0,0,1,Matches
Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-190,1994,24.0,567,793,71.5,15640,10793,90,92,97.8,291,297,98.0,185,397,46.6,0,0.0,0.0,0.0,1,8,0,0,0,Matches
Marco Asensio,es ESP,"MF,FW",Aston Villa,29-080,1996,3.4,106,130,81.5,1505,372,59,65,90.8,37,42,88.1,5,13,38.5,1,0.3,0.2,+0.7,5,10,6,1,22,Matches
Brandon Austin,eng ENG,GK,Tottenham,26-093,1999,1.0,22,32,68.8,526,386,7,7,100.0,9,9,100.0,6,16,37.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-242,1997,4.0,57,87,65.5,629,135,40,53,75.5,13,24,54.2,0,4,0.0,0,0.1,0.1,-0.1,2,5,2,0,7,Matches
Yasin Ayari,se SWE,MF,Brighton,21-187,2003,17.1,600,747,80.3,9004,2425,349,383,91.1,210,252,83.3,26,74,35.1,1,2.1,2.1,-1.1,26,36,14,2,58,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-212,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-212,1991,14.6,316,437,72.3,4618,894,174,203,85.7,111,151,73.5,16,45,35.6,0,0.8,1.2,-0.8,12,20,11,6,31,Matches
Benoît Badiashile,fr FRA,DF,Chelsea,24-016,2001,3.7,273,304,89.8,4820,1473,111,119,93.3,135,144,93.8,21,32,65.6,0,0.0,0.1,0.0,0,37,1,0,17,Matches
Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-245,1997,12.6,273,386,70.7,4275,1048,149,183,81.4,99,122,81.1,18,38,47.4,2,1.5,2.9,+0.5,16,16,20,2,35,Matches
