Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
Max Aarons,eng ENG,DF,Bournemouth,25-096,2000,1.0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,1,0,0,1,0,40,3,Matches
Joshua Acheampong,eng ENG,DF,Chelsea,18-340,2006,1.9,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,0,2,0,2,0,111,0,Matches
Tyler Adams,us USA,MF,Bournemouth,26-055,1999,15.3,939,40,239,545,164,12,939,14,2,14.3,9,64.3,448,2051,936,11,15,1,21,9,500,7,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-198,1997,13.1,1132,156,543,568,22,13,1132,3,2,66.7,0,0.0,675,2716,1530,5,1,0,3,0,865,1,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,23-099,2002,8.3,374,6,52,115,212,48,374,35,15,42.9,20,57.1,246,1626,759,27,15,13,29,9,262,96,Matches
Emmanuel Agbadou,ci CIV,DF,Wolves,27-297,1997,8.7,611,96,325,274,17,2,611,7,6,85.7,1,14.3,361,1760,762,1,2,0,2,3,385,0,Matches
Asher Agbinone,eng ENG,MF,Crystal Palace,19-194,2005,0.1,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,2,0,0,0,1,5,1,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,28-184,1996,28.5,1462,138,539,610,338,21,1462,64,29,45.3,24,37.5,629,4026,2328,54,35,10,39,21,691,52,Matches
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-308,2001,28.3,1728,81,475,745,529,72,1728,98,48,49.0,36,36.7,896,4944,2577,68,50,22,38,36,1038,147,Matches
Kristoffer Ajer,no NOR,DF,Brentford,26-358,1998,14.4,714,47,238,334,147,33,714,14,7,50.0,6,42.9,348,1951,1116,26,10,2,14,12,450,39,Matches
Manuel Akanji,ch SUI,DF,Manchester City,29-265,1995,19.0,1591,108,472,773,348,11,1591,2,2,100.0,0,0.0,1041,5502,3286,38,52,0,4,5,1258,6,Matches
Nathan Aké,nl NED,DF,Manchester City,30-051,1995,7.5,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,12,1,4,3,449,2,Matches
Carlos Alcaraz,ar ARG,MF,Southampton,22-131,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Matches
Carlos Alcaraz,ar ARG,"MF,FW",Everton,22-131,2002,4.6,218,9,41,90,93,11,218,10,6,60.0,3,30.0,114,693,390,10,12,0,8,8,136,8,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-185,1998,23.8,2044,82,546,902,609,39,2044,29,13,44.8,14,48.3,1075,4978,2652,48,35,8,19,15,1299,87,Matches
Alisson,br BRA,GK,Liverpool,32-190,1992,20.9,682,499,668,14,0,0,682,1,1,100.0,0,0.0,447,1803,1063,0,0,0,1,0,407,0,Matches
Miguel Almirón,py PAR,FW,Newcastle Utd,31-059,1994,1.7,81,1,10,35,36,9,81,2,1,50.0,1,50.0,54,284,93,3,3,2,0,2,59,18,Matches
Edson Álvarez,mx MEX,MF,West Ham,27-168,1997,18.1,1101,61,323,612,174,12,1101,31,14,45.2,12,38.7,603,3371,1528,21,20,2,25,13,734,18,Matches
Will Alves,eng ENG,FW,Leicester City,20-066,2005,0.0,1,0,0,0,1,0,1,0,0,,0,,1,5,5,0,0,0,0,0,1,1,Matches
Harry Amass,eng ENG,DF,Manchester Utd,18-025,2007,0.2,27,3,12,9,6,0,27,0,0,,0,,11,44,10,0,0,0,1,3,10,1,Matches
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-266,2006,0.3,16,0,5,5,7,1,16,4,0,0.0,3,75.0,11,98,68,1,0,1,0,2,11,3,Matches
