Player,Nation,Pos,Squad,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches
Max Aarons,eng ENG,DF,Bournemouth,25-097,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joshua Acheampong,eng ENG,DF,Chelsea,18-341,2006,1.9,0,2,0,0.0,1.06,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Tyler Adams,us USA,MF,Bournemouth,26-056,1999,15.3,0,6,1,16.7,0.39,0.07,0.00,0.00,18.7,0,0,0,1.2,1.2,0.19,-1.2,-1.2,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-199,1997,13.1,1,12,2,16.7,0.91,0.15,0.08,0.50,12.5,0,0,0,0.9,0.9,0.08,+0.1,+0.1,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,23-100,2002,8.3,2,18,5,27.8,2.18,0.61,0.11,0.40,16.6,0,0,0,1.6,1.6,0.09,+0.4,+0.4,Matches
Emmanuel Agbadou,ci CIV,DF,Wolves,27-298,1997,8.7,0,4,1,25.0,0.46,0.12,0.00,0.00,28.2,1,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Asher Agbinone,eng ENG,MF,Crystal Palace,19-195,2005,0.1,0,1,0,0.0,15.00,0.00,0.00,,26.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,28-185,1996,28.5,2,9,2,22.2,0.32,0.07,0.22,1.00,24.8,0,0,0,0.6,0.6,0.07,+1.4,+1.4,Matches
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-309,2001,28.3,3,28,7,25.0,0.99,0.25,0.11,0.43,15.1,0,0,0,2.3,2.3,0.08,+0.7,+0.7,Matches
Kristoffer Ajer,no NOR,DF,Brentford,26-359,1998,14.4,0,7,2,28.6,0.49,0.14,0.00,0.00,10.1,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
Manuel Akanji,ch SUI,DF,Manchester City,29-266,1995,19.0,0,10,1,10.0,0.53,0.05,0.00,0.00,16.3,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Nathan Aké,nl NED,DF,Manchester City,30-052,1995,7.5,0,3,0,0.0,0.40,0.00,0.00,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches
Carlos Alcaraz,ar ARG,MF,Southampton,22-132,2002,0.1,0,1,1,100.0,9.00,9.00,0.00,0.00,9.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Carlos Alcaraz,ar ARG,"MF,FW",Everton,22-132,2002,4.6,1,17,6,35.3,3.73,1.32,0.06,0.17,20.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-186,1998,23.8,2,38,7,18.4,1.59,0.29,0.05,0.29,23.6,2,0,0,1.6,1.6,0.04,+0.4,+0.4,Matches
Alisson,br BRA,GK,Liverpool,32-191,1992,20.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Miguel Almirón,py PAR,FW,Newcastle Utd,31-060,1994,1.7,0,6,2,33.3,3.44,1.15,0.00,0.00,14.2,0,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Edson Álvarez,mx MEX,MF,West Ham,27-169,1997,18.1,0,11,1,9.1,0.61,0.06,0.00,0.00,26.7,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Will Alves,eng ENG,FW,Leicester City,20-067,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Harry Amass,eng ENG,DF,Manchester Utd,18-026,2007,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-267,2006,0.3,0,1,0,0.0,3.21,0.00,0.00,,20.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Mathis Amougou,fr FRA,MF,Chelsea,19-083,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,28-315,1996,1.0,0,1,1,100.0,1.00,1.00,0.00,0.00,25.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
Joachim Andersen,dk DEN,DF,Fulham,28-315,1996,21.7,0,12,2,16.7,0.55,0.09,0.00,0.00,18.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
