Player,Team,Transfer Value
Aaron Ramsdale,Southampton,€18.7M
Aaron Wan-Bissaka,West Ham,€26.9M
Abdoulaye Doucouré,Everton,€5.8M
Adam Armstrong, West Bromwich,€15.1M
Adam Smith,Bournemouth,€1.5M
Adam Wharton,Crystal Palace,€48.9M
Adama Traoré,Fulham,€8M
Alejandro Garnacho,Manchester Utd,€60.7M
Alex Iwobi,Fulham,€30.3M
Alex Palmer,Ipswich Town,€1.6M
Alexander Isak,Newcastle Utd,€120.3M
Alexis Mac Allister,Liverpool,€106.1M
Alisson,Liverpool,€24.1M
Alphonse Areola,West Ham,€11.8M
Amad Diallo,Manchester Utd,€48.5M
Amadou Onana,Aston Villa,€62.1M
Andreas Pereira,Fulham,€19M
Andrew Robertson,Liverpool,€24M
André,Wolves,€29.8M
André Onana,Manchester Utd,€34.2M
Anthony Elanga,Nott'ham Forest,€45.5M
Anthony Gordon,Newcastle Utd,€49.5M
Antoine Semenyo,Bournemouth,€47.7M
Antonee Robinson,Fulham,€46.4M
Archie Gray,Tottenham,€58.2M
Arijanet Muric,Ipswich Town,€10.1M
Ashley Young,Everton,€1.3M
Axel Tuanzebe,Ipswich Town,€4.2M
Bart Verbruggen,Brighton,€30.7M
Ben Davies,Tottenham,€5.6M
Ben Johnson,Ipswich Town,€12.6M
Ben White,Arsenal,€58.8M
Bernardo Silva,Manchester City,€50M
Bernd Leno,Fulham,€13.7M
Beto,Everton,€24.4M
Bilal El Khannouss,Leicester City,€40.6M
Boubacar Kamara,Aston Villa,€46.3M
Boubakary Soumaré,Leicester City,€15.4M
Brennan Johnson,Tottenham,€71.3M
Bruno Fernandes,Manchester Utd,€54.8M
Bruno Guimarães,Newcastle Utd,€83.2M
Bryan Mbeumo,Brentford,€57.2M
Bukayo Saka,Arsenal,€101.3M
Caleb Okoli,Leicester City,€16.7M
Callum Hudson-Odoi,Nott'ham Forest,€30.2M
Calvin Bassey,Fulham,€29.9M
Cameron Archer,Southampton,€18.6M
Cameron Burgess,Ipswich Town,€1.7M
Carlos Baleba,Brighton,€52.4M
Carlos Soler,West Ham,€23.4M
Casemiro,Manchester Utd,€11.6M
Chris Richards,Crystal Palace,€15.7M
Chris Wood,Nott'ham Forest,€7.8M
Christian Eriksen,Manchester Utd,€4.2M
Christian Nørgaard,Brentford,€14.4M
Christopher Nkunku,Chelsea,€51.7M
Cody Gakpo,Liverpool,€67.5M
Cole Palmer,Chelsea,€115.4M
Conor Coady,Leicester City,€2.2M
Craig Dawson,Wolves,€1.5M
Cristian Romero,Tottenham,€60.1M
Curtis Jones,Liverpool,€61.7M
Daichi Kamada,Crystal Palace,€14.6M
Dan Burn,Newcastle Utd,€9.1M
Dango Ouattara,Bournemouth,€28.5M
Daniel Muñoz,Crystal Palace,€30.9M
Danny Welbeck,Brighton,€6M
Dara O'Shea,Ipswich Town,€19.5M
Darwin Núñez,Liverpool,€60.9M
David Raya,Arsenal,€28.9M
Dean Henderson,Crystal Palace,€22.7M
Dean Huijsen,Bournemouth,€55M
Declan Rice,Arsenal,€107.8M
Dejan Kulusevski,Tottenham,€60.5M
Destiny Udogie,Tottenham,€59.4M
Diogo Dalot,Manchester Utd,€37.4M
Diogo Jota,Liverpool,€58.6M
