Player,Nation,Pos,Squad,gca_Age,gca_Born,gca_90s,gca_SCA_SCA,gca_SCA_SCA90,gca_SCA Types_PassLive,gca_SCA Types_PassDead,gca_SCA Types_TO,gca_SCA Types_Sh,gca_SCA Types_Fld,gca_SCA Types_Def,gca_GCA_GCA,gca_GCA_GCA90,gca_GCA Types_PassLive,gca_GCA Types_PassDead,gca_GCA Types_TO,gca_GCA Types_Sh,gca_GCA Types_Fld,gca_GCA Types_Def,gca_Matches
Max Aarons,eng ENG,DF,Bournemouth,25-097,2000,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joshua Acheampong,eng ENG,DF,Chelsea,18-341,2006,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tyler Adams,us USA,MF,Bournemouth,26-056,1999,15.3,30,1.96,26,0,0,0,0,4,4,0.26,3,0,0,0,0,1,Matches
Tosin Adarabioyo,eng ENG,DF,Chelsea,27-199,1997,13.1,11,0.84,6,0,0,5,0,0,1,0.08,0,0,0,1,0,0,Matches
Simon Adingra,ci CIV,"FW,MF",Brighton,23-100,2002,8.3,28,3.39,20,0,4,4,0,0,4,0.48,3,0,1,0,0,0,Matches
Emmanuel Agbadou,ci CIV,DF,Wolves,27-298,1997,8.7,10,1.15,9,1,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Asher Agbinone,eng ENG,MF,Crystal Palace,19-195,2005,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ola Aina,ng NGA,DF,Nott'ham Forest,28-185,1996,28.5,50,1.75,40,5,2,1,1,1,3,0.11,2,0,0,0,0,1,Matches
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-309,2001,28.3,66,2.33,39,13,7,4,2,1,9,0.32,7,1,0,0,0,1,Matches
Kristoffer Ajer,no NOR,DF,Brentford,26-359,1998,14.4,17,1.18,14,0,1,2,0,0,2,0.14,2,0,0,0,0,0,Matches
Manuel Akanji,ch SUI,DF,Manchester City,29-266,1995,19.0,34,1.79,34,0,0,0,0,0,2,0.11,2,0,0,0,0,0,Matches
Nathan Aké,nl NED,DF,Manchester City,30-052,1995,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Alcaraz,ar ARG,MF,Southampton,22-132,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Alcaraz,ar ARG,"MF,FW",Everton,22-132,2002,4.6,18,3.95,13,1,3,0,1,0,2,0.44,2,0,0,0,0,0,Matches
Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-186,1998,23.8,92,3.86,71,14,4,3,0,0,10,0.42,9,1,0,0,0,0,Matches
Alisson,br BRA,GK,Liverpool,32-191,1992,20.9,6,0.29,6,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Miguel Almirón,py PAR,FW,Newcastle Utd,31-060,1994,1.7,8,4.59,6,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Edson Álvarez,mx MEX,MF,West Ham,27-169,1997,18.1,25,1.38,21,0,2,1,1,0,2,0.11,2,0,0,0,0,0,Matches
Will Alves,eng ENG,FW,Leicester City,20-067,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Harry Amass,eng ENG,DF,Manchester Utd,18-026,2007,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-267,2006,0.3,2,6.43,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Mathis Amougou,fr FRA,MF,Chelsea,19-083,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joachim Andersen,dk DEN,DF,Crystal Palace,28-315,1996,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joachim Andersen,dk DEN,DF,Fulham,28-315,1996,21.7,23,1.07,18,1,0,4,0,0,2,0.09,1,1,0,0,0,0,Matches
Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-156,2002,23.7,72,3.03,34,18,7,6,3,4,10,0.42,4,3,0,1,1,1,Matches
André,br BRA,MF,Wolves,23-269,2001,21.2,39,1.84,31,3,1,0,0,4,3,0.14,2,1,0,0,0,0,Matches
Michail Antonio,jm JAM,FW,West Ham,35-014,1990,9.3,22,2.37,14,0,1,5,1,1,4,0.43,0,0,0,4,0,0,Matches
Antony,br BRA,"DF,MF",Manchester Utd,25-046,2000,1.6,8,5.11,6,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Julian Araujo,mx MEX,DF,Bournemouth,23-241,2001,3.9,2,0.51,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Cameron Archer,eng ENG,FW,Southampton,23-264,2001,13.9,15,1.08,6,0,4,4,1,0,0,0.00,0,0,0,0,0,0,Matches
Alphonse Areola,fr FRA,GK,West Ham,32-043,1993,19.1,3,0.16,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joe Aribo,ng NGA,"MF,DF",Southampton,28-264,1996,21.2,37,1.75,32,0,2,1,2,0,1,0.05,1,0,0,0,0,0,Matches
Adam Armstrong,eng ENG,"FW,MF",Southampton,28-060,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches
Harrison Armstrong,eng ENG,MF,Everton,18-082,2007,0.5,1,1.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-190,1994,24.0,4,0.17,2,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marco Asensio,es ESP,"MF,FW",Aston Villa,29-080,1996,3.4,11,3.25,6,4,0,0,0,1,1,0.30,1,0,0,0,0,0,Matches
Brandon Austin,eng ENG,GK,Tottenham,26-093,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-242,1997,4.0,9,2.23,5,0,1,2,1,0,1,0.25,0,0,0,1,0,0,Matches
Yasin Ayari,se SWE,MF,Brighton,21-187,2003,17.1,50,2.91,27,11,3,3,4,2,5,0.29,3,2,0,0,0,0,Matches
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-212,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-212,1991,14.6,30,2.06,20,6,1,2,0,1,1,0.07,1,0,0,0,0,0,Matches
Benoît Badiashile,fr FRA,DF,Chelsea,24-016,2001,3.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-245,1997,12.6,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0,Matches
Carlos Baleba,cm CMR,MF,Brighton,21-098,2004,22.9,56,2.45,46,0,2,4,1,3,4,0.18,2,0,0,0,1,1,Matches
Ross Barkley,eng ENG,MF,Aston Villa,31-127,1993,6.2,16,2.60,13,1,2,0,0,0,3,0.49,3,0,0,0,0,0,Matches
Harvey Barnes,eng ENG,FW,Newcastle Utd,27-123,1997,12.0,45,3.73,29,1,6,5,4,0,8,0.66,5,0,1,1,1,0,Matches
Calvin Bassey,ng NGA,DF,Fulham,25-101,1999,28.2,18,0.64,14,1,2,0,0,1,2,0.07,1,0,0,0,0,1,Matches
Jan Bednarek,pl POL,DF,Southampton,28-364,1996,23.1,15,0.65,14,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Armel Bella Kotchap,de GER,DF,Southampton,23-121,2001,3.7,2,0.54,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-288,1998,16.0,51,3.19,32,3,4,4,6,2,9,0.56,8,0,0,0,0,1,Matches
Rodrigo Bentancur,uy URU,MF,Tottenham,27-290,1997,15.5,39,2.52,30,0,1,5,1,2,2,0.13,2,0,0,0,0,0,Matches
Sander Berge,no NOR,MF,Fulham,27-056,1998,20.3,39,1.92,34,1,1,1,0,2,2,0.10,2,0,0,0,0,0,Matches
Lucas Bergvall,se SWE,MF,Tottenham,19-068,2006,12.0,18,1.50,14,2,0,2,0,0,3,0.25,2,0,0,1,0,0,Matches
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-116,2002,26.4,41,1.55,32,6,1,0,2,0,3,0.11,3,0,0,0,0,0,Matches
Beto,gw GNB,FW,Everton,27-070,1998,11.9,16,1.34,10,0,3,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Philip Billing,dk DEN,MF,Bournemouth,28-304,1996,2.0,16,7.83,13,0,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
Yves Bissouma,ml MLI,MF,Tottenham,28-224,1996,12.8,15,1.17,14,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Oscar Bobb,no NOR,FW,Manchester City,21-273,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-096,2004,5.3,10,1.89,8,1,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
