Player,Nation,Pos,Squad,stats_Age,stats_Born,stats_Playing Time_MP,stats_Playing Time_Starts,stats_Playing Time_Min,stats_Playing Time_90s,stats_Performance_Gls,stats_Performance_Ast,stats_Performance_G+A,stats_Performance_G-PK,stats_Performance_PK,stats_Performance_PKatt,stats_Performance_CrdY,stats_Performance_CrdR,stats_Expected_xG,stats_Expected_npxG,stats_Expected_xAG,stats_Expected_npxG+xAG,stats_Progression_PrgC,stats_Progression_PrgP,stats_Progression_PrgR,stats_Per 90 Minutes_Gls,stats_Per 90 Minutes_Ast,stats_Per 90 Minutes_G+A,stats_Per 90 Minutes_G-PK,stats_Per 90 Minutes_G+A-PK,stats_Per 90 Minutes_xG,stats_Per 90 Minutes_xAG,stats_Per 90 Minutes_xG+xAG,stats_Per 90 Minutes_npxG,stats_Per 90 Minutes_npxG+xAG,stats_Matches,keepers_Age,keepers_Born,keepers_Playing Time_MP,keepers_Playing Time_Starts,keepers_Playing Time_Min,keepers_Playing Time_90s,keepers_Performance_GA,keepers_Performance_GA90,keepers_Performance_SoTA,keepers_Performance_Saves,keepers_Performance_Save%,keepers_Performance_W,keepers_Performance_D,keepers_Performance_L,keepers_Performance_CS,keepers_Performance_CS%,keepers_Penalty Kicks_PKatt,keepers_Penalty Kicks_PKA,keepers_Penalty Kicks_PKsv,keepers_Penalty Kicks_PKm,keepers_Penalty Kicks_Save%,keepers_Matches,shooting_Age,shooting_Born,shooting_90s,shooting_Standard_Gls,shooting_Standard_Sh,shooting_Standard_SoT,shooting_Standard_SoT%,shooting_Standard_Sh/90,shooting_Standard_SoT/90,shooting_Standard_G/Sh,shooting_Standard_G/SoT,shooting_Standard_Dist,shooting_Standard_FK,shooting_Standard_PK,shooting_Standard_PKatt,shooting_Expected_xG,shooting_Expected_npxG,shooting_Expected_npxG/Sh,shooting_Expected_G-xG,shooting_Expected_np:G-xG,shooting_Matches,passing_Age,passing_Born,passing_90s,passing_Total_Cmp,passing_Total_Att,passing_Total_Cmp%,passing_Total_TotDist,passing_Total_PrgDist,passing_Short_Cmp,passing_Short_Att,passing_Short_Cmp%,passing_Medium_Cmp,passing_Medium_Att,passing_Medium_Cmp%,passing_Long_Cmp,passing_Long_Att,passing_Long_Cmp%,passing_Ast,passing_xAG,passing_Expected_xA,passing_Expected_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_PrgP,passing_Matches,gca_Age,gca_Born,gca_90s,gca_SCA_SCA,gca_SCA_SCA90,gca_SCA Types_PassLive,gca_SCA Types_PassDead,gca_SCA Types_TO,gca_SCA Types_Sh,gca_SCA Types_Fld,gca_SCA Types_Def,gca_GCA_GCA,gca_GCA_GCA90,gca_GCA Types_PassLive,gca_GCA Types_PassDead,gca_GCA Types_TO,gca_GCA Types_Sh,gca_GCA Types_Fld,gca_GCA Types_Def,gca_Matches,defense_Age,defense_Born,defense_90s,defense_Tackles_Tkl,defense_Tackles_TklW,defense_Tackles_Def 3rd,defense_Tackles_Mid 3rd,defense_Tackles_Att 3rd,defense_Challenges_Tkl,defense_Challenges_Att,defense_Challenges_Tkl%,defense_Challenges_Lost,defense_Blocks_Blocks,defense_Blocks_Sh,defense_Blocks_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,defense_Matches,possession_Age,possession_Born,possession_90s,possession_Touches_Touches,possession_Touches_Def Pen,possession_Touches_Def 3rd,possession_Touches_Mid 3rd,possession_Touches_Att 3rd,possession_Touches_Att Pen,possession_Touches_Live,possession_Take-Ons_Att,possession_Take-Ons_Succ,possession_Take-Ons_Succ%,possession_Take-Ons_Tkld,possession_Take-Ons_Tkld%,possession_Carries_Carries,possession_Carries_TotDist,possession_Carries_PrgDist,possession_Carries_PrgC,possession_Carries_1/3,possession_Carries_CPA,possession_Carries_Mis,possession_Carries_Dis,possession_Receiving_Rec,possession_Receiving_PrgR,possession_Matches,misc_Age,misc_Born,misc_90s,misc_Performance_CrdY,misc_Performance_CrdR,misc_Performance_2CrdY,misc_Performance_Fls,misc_Performance_Fld,misc_Performance_Off,misc_Performance_Crs,misc_Performance_Int,misc_Performance_TklW,misc_Performance_PKwon,misc_Performance_PKcon,misc_Performance_OG,misc_Performance_Recov,misc_Aerial Duels_Won,misc_Aerial Duels_Lost,misc_Aerial Duels_Won%,misc_Matches
Aaron Cresswell,ENG,DF,West Ham,35-117,1989,14,7,589,6.5,0,0,0,0,0,0,2,0,0.1,0.1,1.1,1.3,4,24,2,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.19,0.02,0.19,Matches,,,,,,,,,,,,,,,,,,,,,,,35-117,1989,6.5,0,3,0,0.0,0.46,0.00,0.00,,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,35-117,1989,6.5,355,440,80.7,6769,2697,157,173,90.8,152,177,85.9,45,82,54.9,0,1.1,1.2,-1.1,7,40,4,1,24,Matches,35-117,1989,6.5,12,1.83,5,7,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,35-117,1989,6.5,8,4,3,4,1,6,8,75.0,2,7,4,3,6,14,30,0,Matches,35-117,1989,6.5,495,33,196,236,68,1,495,1,1,100.0,0,0.0,200,773,388,4,7,0,3,0,312,2,Matches,35-117,1989,6.5,2,0,0,3,1,0,27,6,4,0,0,0,21,7,6,53.8,Matches
Aaron Ramsdale,ENG,GK,Southampton,26-332,1998,23,23,2070,23.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,26-332,1998,23,23,"2,070",23.0,54,2.35,150,96,67.3,2,3,18,2,8.7,5,5,0,0,0.0,Matches,26-332,1998,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,26-332,1998,23.0,620,959,64.7,17090,13301,175,175,100.0,238,249,95.6,201,522,38.5,0,0.0,0.1,0.0,0,27,1,0,0,Matches,26-332,1998,23.0,2,0.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,26-332,1998,23.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,8,2,Matches,26-332,1998,23.0,1029,745,1018,13,0,0,1029,0,0,,0,,645,3258,1886,0,0,0,1,0,588,0,Matches,26-332,1998,23.0,2,0,0,1,3,0,0,2,0,0,0,0,17,4,0,100.0,Matches
Aaron Wan-Bissaka,ENG,DF,West Ham,27-136,1997,30,29,2614,29.0,2,2,4,2,0,0,1,0,1.0,1.0,2.5,3.5,91,116,126,0.07,0.07,0.14,0.07,0.14,0.03,0.09,0.12,0.03,0.12,Matches,,,,,,,,,,,,,,,,,,,,,,,27-136,1997,29.0,2,13,4,30.8,0.45,0.14,0.15,0.50,15.5,0,0,0,1.0,1.0,0.08,+1.0,+1.0,Matches,27-136,1997,29.0,1203,1490,80.7,17255,6337,763,853,89.4,377,458,82.3,45,95,47.4,2,2.5,2.2,-0.5,25,84,25,11,116,Matches,27-136,1997,29.0,73,2.51,59,4,6,2,0,2,5,0.17,4,0,0,1,0,0,Matches,27-136,1997,29.0,60,42,29,26,5,18,25,72.0,7,30,8,22,52,112,107,0,Matches,27-136,1997,29.0,1848,127,588,791,496,37,1848,92,48,52.2,33,35.9,862,5511,3102,91,52,11,27,18,1061,126,Matches,27-136,1997,29.0,1,0,0,21,21,4,60,52,42,0,0,1,151,21,28,42.9,Matches
Abdoulaye Doucouré,MLI,MF,Everton,32-100,1993,27,26,2155,23.9,2,1,3,2,0,0,4,1,3.2,3.2,2.0,5.3,35,67,79,0.08,0.04,0.13,0.08,0.13,0.13,0.09,0.22,0.13,0.22,Matches,,,,,,,,,,,,,,,,,,,,,,,32-100,1993,23.9,2,24,7,29.2,1.00,0.29,0.08,0.29,13.8,0,0,0,3.2,3.2,0.13,-1.2,-1.2,Matches,32-100,1993,23.9,602,760,79.2,9120,1917,318,376,84.6,224,271,82.7,35,49,71.4,1,2.0,1.1,-1.0,24,39,13,0,67,Matches,32-100,1993,23.9,47,1.96,42,0,2,2,0,1,2,0.08,1,0,0,0,0,1,Matches,32-100,1993,23.9,41,24,19,16,6,11,32,34.4,21,29,6,23,7,48,18,1,Matches,32-100,1993,23.9,970,30,204,442,338,46,970,33,18,54.5,15,45.5,505,2546,1211,35,21,5,30,31,619,79,Matches,32-100,1993,23.9,4,1,1,42,5,8,21,7,24,0,0,0,124,27,35,43.5,Matches
Abdukodir Khusanov,UZB,DF,Manchester City,21-041,2004,6,6,503,5.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,25,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,,,,,,,,,,,,,,,,,,21-041,2004,5.6,0,1,0,0.0,0.18,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,21-041,2004,5.6,360,395,91.1,6126,1976,160,169,94.7,191,197,97.0,6,23,26.1,0,0.1,0.1,-0.1,2,23,0,0,25,Matches,21-041,2004,5.6,5,0.89,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,21-041,2004,5.6,5,4,4,1,0,2,3,66.7,1,5,4,1,3,8,29,1,Matches,21-041,2004,5.6,445,45,205,211,31,1,445,2,0,0.0,2,100.0,274,1155,435,1,1,0,2,1,332,2,Matches,21-041,2004,5.6,1,0,0,3,3,0,1,3,4,0,0,1,27,6,4,60.0,Matches
Abdul Fatawu Issahaku,GHA,FW,Leicester City,21-034,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31,Matches,,,,,,,,,,,,,,,,,,,,,,,21-034,2004,6.4,0,13,5,38.5,2.02,0.78,0.00,0.00,31.2,0,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,21-034,2004,6.4,123,197,62.4,2150,601,59,81,72.8,45,59,76.3,16,33,48.5,2,1.6,1.4,+0.4,6,7,7,2,17,Matches,21-034,2004,6.4,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0,Matches,21-034,2004,6.4,21,15,13,2,6,11,19,57.9,8,7,0,7,4,25,12,0,Matches,21-034,2004,6.4,326,19,73,114,157,26,326,69,29,42.0,28,40.6,217,1869,1055,42,24,15,18,12,216,60,Matches,21-034,2004,6.4,0,0,0,11,20,2,30,4,15,0,0,0,38,14,13,51.9,Matches
Adam Armstrong,ENG,"FW,MF",Southampton,28-060,1997,20,15,1248,13.9,2,2,4,2,0,1,4,0,3.3,2.3,1.2,3.5,25,21,79,0.14,0.14,0.29,0.14,0.29,0.24,0.09,0.32,0.17,0.25,Matches,,,,,,,,,,,,,,,,,,,,,,,28-060,1997,13.9,2,25,7,28.0,1.80,0.50,0.08,0.29,16.6,0,0,1,3.3,2.3,0.09,-1.3,-0.3,Matches,28-060,1997,13.9,231,288,80.2,3320,446,138,158,87.3,81,95,85.3,6,13,46.2,2,1.2,0.6,+0.8,9,10,8,2,21,Matches,28-060,1997,13.9,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0,Matches,28-060,1997,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0,Matches,28-060,1997,13.9,377,11,44,143,192,49,376,14,6,42.9,8,57.1,235,1324,599,25,13,6,11,18,286,79,Matches,28-060,1997,13.9,4,0,0,12,5,9,14,3,3,0,0,0,23,5,9,35.7,Matches
Adam Lallana,ENG,MF,Southampton,36-336,1988,14,5,361,4.0,0,2,2,0,0,0,4,0,0.2,0.2,0.9,1.1,6,24,10,0.00,0.50,0.50,0.00,0.50,0.04,0.23,0.27,0.04,0.27,Matches,,,,,,,,,,,,,,,,,,,,,,,36-336,1988,4.0,0,3,0,0.0,0.75,0.00,0.00,,18.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,36-336,1988,4.0,221,260,85.0,2891,980,147,165,89.1,61,67,91.0,4,9,44.4,2,0.9,0.5,+1.1,4,21,9,3,24,Matches,36-336,1988,4.0,9,2.24,8,0,0,0,1,0,2,0.50,2,0,0,0,0,0,Matches,36-336,1988,4.0,8,5,4,4,0,2,12,16.7,10,4,1,3,5,13,5,0,Matches,36-336,1988,4.0,318,19,91,155,73,6,318,12,5,41.7,5,41.7,178,831,366,6,8,0,10,6,245,10,Matches,36-336,1988,4.0,4,0,0,8,8,0,4,5,5,0,0,0,19,2,2,50.0,Matches
Adam Smith,ENG,DF,Bournemouth,33-347,1991,19,14,1146,12.7,0,0,0,0,0,0,5,0,0.6,0.6,0.2,0.8,10,33,19,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,33-347,1991,12.7,0,1,0,0.0,0.08,0.00,0.00,,10.2,0,0,0,0.6,0.6,0.60,-0.6,-0.6,Matches,33-347,1991,12.7,344,456,75.4,5606,1917,164,190,86.3,150,188,79.8,20,59,33.9,0,0.2,0.1,-0.2,5,33,5,2,33,Matches,33-347,1991,12.7,14,1.10,10,1,1,0,1,1,1,0.08,0,0,0,0,1,0,Matches,33-347,1991,12.7,18,9,9,4,5,10,21,47.6,11,10,3,7,12,30,38,1,Matches,33-347,1991,12.7,562,31,181,258,127,3,562,12,4,33.3,5,41.7,241,935,436,10,13,0,10,5,256,19,Matches,33-347,1991,12.7,5,0,0,13,9,0,23,12,9,0,0,0,38,9,12,42.9,Matches
Adam Webster,ENG,DF,Brighton,30-097,1995,11,8,617,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,7,40,2,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.00,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,30-097,1995,6.9,0,1,1,100.0,0.15,0.15,0.00,0.00,15.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,30-097,1995,6.9,429,501,85.6,7934,3140,169,177,95.5,213,232,91.8,40,79,50.6,0,0.5,0.2,-0.5,3,32,2,0,40,Matches,30-097,1995,6.9,10,1.46,8,2,0,0,0,0,3,0.44,2,1,0,0,0,0,Matches,30-097,1995,6.9,8,5,4,3,1,5,11,45.5,6,12,9,3,14,22,28,1,Matches,30-097,1995,6.9,569,84,279,271,22,8,569,3,1,33.3,2,66.7,326,1927,1142,7,2,0,3,1,384,2,Matches,30-097,1995,6.9,0,0,0,5,2,1,1,14,5,0,1,0,20,17,4,81.0,Matches
